PLAYER_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,isHOF
76474,14.0,0.0,88.0,10.0,26.0,0.385,0.0,0.0,0.0,3.0,6.0,0.5,7.0,17.0,23.0,5.0,1.0,3.0,5.0,19.0,26.0,0
76475,4.0,,28.0,2.0,4.0,0.5,0.0,0.0,,2.0,2.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,5.0,4.0,6.0,0
76476,21.0,0.0,128.0,6.0,24.0,0.25,0.0,0.0,0.0,14.0,25.0,0.56,9.0,21.0,30.0,1.0,2.0,3.0,6.0,38.0,26.0,0
76477,29.0,,157.0,6.0,25.0,0.286,,,,8.0,18.0,0.444,,,61.0,11.0,,,,29.0,20.0,0
76478,45.0,0.0,354.0,64.0,112.0,0.571,0.0,0.0,0.0,38.0,91.0,0.418,35.0,47.0,82.0,22.0,12.0,7.0,19.0,58.0,166.0,0
76479,44.0,,,74.0,212.0,0.322,,,,26.0,42.0,0.619,,,,55.0,,,,53.0,174.0,0
76481,15.0,,154.0,35.0,80.0,0.438,,,,14.0,20.0,0.7,14.0,13.0,27.0,8.0,5.0,1.0,12.0,24.0,84.0,0
76482,29.0,0.0,178.5,22.5,61.0,0.29200000000000004,6.5,17.0,0.2165,8.5,12.0,0.583,8.5,13.5,22.0,9.0,4.0,1.0,7.5,18.0,60.0,0
76483,62.5,10.0,1070.0,196.0,401.0,0.497,0.0,1.5,0.0,86.5,116.5,0.737,88.0,188.5,280.5,50.0,26.5,14.5,97.5,152.5,477.5,0
76485,63.0,,675.0,64.0,156.0,0.4125,,,,29.0,50.0,0.656,0.5,8.5,208.0,34.0,1.0,1.0,,76.0,157.0,0
76488,20.0,0.0,166.0,16.0,41.0,0.39,0.0,0.0,0.0,26.0,36.0,0.722,17.0,32.0,49.0,12.0,7.0,2.0,8.0,30.0,58.0,0
76489,12.0,,,4.0,15.0,0.267,,,,2.0,3.0,0.667,,,,0.0,,,,5.0,10.0,0
76492,61.5,,,79.5,201.5,0.39,,,,142.0,183.5,0.7505,,,,74.5,,,,115.5,301.0,0
76496,14.0,,112.0,14.0,38.0,0.368,,,,7.0,7.0,1.0,,,22.0,5.0,,,,16.0,35.0,0
76497,58.0,3.5,1103.0,265.5,623.0,0.4495,1.0,9.5,0.118,184.0,224.5,0.782,45.5,70.5,118.5,94.0,56.0,5.0,96.5,120.5,735.0,0
76498,48.0,,,199.0,710.0,0.28,,,,130.0,203.0,0.716,,,,116.0,,,,141.0,528.0,0
76499,80.0,,1634.0,233.0,507.0,0.49,,,,64.0,86.0,0.744,22.0,54.0,76.0,234.0,49.0,13.0,67.0,84.0,530.0,0
76502,11.0,,126.0,13.0,35.0,0.371,,,,13.0,23.0,0.565,10.0,24.0,34.0,6.0,3.0,11.0,,29.0,39.0,0
76505,30.5,,430.0,38.0,100.0,0.366,,,,15.0,19.0,0.74,8.5,37.0,45.5,61.5,38.5,6.0,,62.0,91.0,0
76506,12.0,,90.0,3.0,18.0,0.167,,,,5.0,9.0,0.556,,,10.0,2.0,,,,29.0,11.0,0
76507,26.0,,,78.0,243.0,0.321,,,,55.0,80.0,0.688,,,,67.0,,,,67.0,211.0,0
76509,47.0,,401.0,74.0,157.0,0.471,,,,22.0,40.0,0.55,15.0,22.0,37.0,30.0,3.0,1.0,,48.0,170.0,0
76511,5.0,,34.0,3.0,15.0,0.2,,,,6.0,7.0,0.857,,,7.0,6.0,,,,9.0,12.0,0
76515,59.0,,,107.0,381.0,0.281,,,,73.0,115.0,0.635,,,,14.0,,,,136.0,287.0,0
76516,73.0,4.0,1395.0,179.0,373.0,0.515,14.0,49.0,0.278,91.0,108.0,0.804,13.0,84.0,102.0,242.0,47.0,9.0,86.0,151.0,470.0,0
76517,68.0,3.0,374.0,40.0,126.0,0.317,1.0,3.0,0.333,50.0,68.0,0.735,21.0,34.0,55.0,22.0,16.0,4.0,19.0,34.0,131.0,0
76518,51.0,1.0,506.0,84.5,187.0,0.4315,1.0,10.0,0.1,21.5,31.5,0.7404999999999999,40.5,68.0,108.5,30.5,10.5,5.0,29.0,58.0,195.5,0
76519,61.0,,1144.0,229.0,569.0,0.412,,,,126.0,161.0,0.774,2.0,9.0,92.0,123.0,2.0,0.0,,143.0,600.0,0
76520,1.0,,8.0,1.0,4.0,0.2,0.0,0.0,0.0,1.0,5.0,0.2,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0
76521,76.0,,1964.0,293.0,666.0,0.436,,,,176.0,222.0,0.718,97.0,247.5,464.0,118.0,32.5,33.5,,254.0,762.0,0
76522,73.0,,1012.0,152.0,335.0,0.438,,,,76.0,88.0,0.83,46.5,102.5,224.0,72.0,20.0,4.5,,94.0,380.0,0
76523,22.0,,212.0,36.0,82.5,0.4655,0.0,0.0,,15.5,22.5,0.599,14.5,21.5,36.0,8.0,7.0,4.0,13.0,37.0,87.5,0
76524,3.0,,16.0,0.0,6.0,0.0,,,,2.0,2.0,1.0,,,4.0,1.0,,,,2.0,2.0,0
76525,75.0,,947.0,121.0,260.0,0.454,,,,85.0,117.0,0.653,99.0,190.0,276.0,56.0,44.5,33.0,,129.0,324.0,0
76526,76.0,34.0,1999.5,340.0,773.5,0.442,4.0,18.0,0.185,202.5,241.5,0.838,54.5,88.5,133.5,320.5,52.5,9.0,151.0,141.0,899.5,0
76528,31.0,0.0,251.0,48.0,97.0,0.48,1.0,9.0,0.1,26.0,32.0,0.824,15.0,21.0,36.0,14.0,13.0,5.0,12.0,38.0,123.0,0
76529,38.0,,580.0,101.5,273.5,0.3675,,,,32.0,45.5,0.7064999999999999,55.5,115.0,170.5,39.0,16.0,4.5,,70.5,235.0,0
76530,8.0,0.0,28.0,4.0,10.0,0.4,0.0,0.0,0.0,6.0,10.0,0.6,3.0,7.0,10.0,0.0,0.0,4.0,0.0,4.0,14.0,0
76531,59.0,,1199.0,236.5,543.5,0.4245,,,,143.5,186.0,0.7715000000000001,,,124.0,96.5,,,,157.5,616.5,0
76532,75.0,,1601.0,272.5,666.0,0.40700000000000003,,,,52.5,77.5,0.6715,,,124.0,212.0,,,,157.0,597.5,0
76533,9.0,,41.0,6.0,28.0,0.214,,,,4.0,6.0,0.667,,,5.0,2.0,,,,5.0,16.0,0
76534,7.0,0.0,67.0,10.0,35.0,0.4,1.0,4.0,0.25,4.0,13.0,0.5,7.0,6.0,13.0,4.0,7.0,0.0,33.0,9.0,23.0,0
76536,65.0,,1097.0,123.0,333.0,0.369,,,,65.0,101.0,0.698,,,276.0,52.0,,,,207.0,323.0,0
76538,47.0,,,35.0,146.0,0.24,,,,14.0,41.0,0.341,,,,11.0,,,,92.0,84.0,0
76539,49.5,7.0,1048.0,199.5,353.0,0.565,0.0,0.0,0.0,128.5,182.5,0.6695,63.5,168.5,240.5,50.0,15.0,52.0,109.5,182.0,527.5,0
